time: 16.0830034722	x_error: 4.95104878558	y_error: 3.53028132107
time: 16.1030642361	x_error: 4.33169003172	y_error: 7.62409992372
time: 16.1230121528	x_error: 0.44480988749	y_error: 14.3078574805
time: 16.1430121528	x_error: 3.42387682791	y_error: 14.8263192775
time: 16.1629947917	x_error: 5.25527258521	y_error: 13.1144784467
time: 16.1830034722	x_error: 14.3057123923	y_error: 27.3065386414
time: 16.2030295139	x_error: 1.8396200438	y_error: 14.2183512465
time: 16.2230121528	x_error: 13.4493769453	y_error: 27.7030225603
time: 16.2430381944	x_error: 5.1459114229	y_error: 2.31465248263
time: 16.2630034722	x_error: 24.8449775878	y_error: 13.8003905305
time: 16.2848784722	x_error: 1.81034969721	y_error: 1.85106180035
time: 16.3030555556	x_error: 3.84821773109	y_error: 6.29999511567
time: 16.3272395833	x_error: 3.83269451981	y_error: 1.1838576324
time: 16.3470399306	x_error: 4.28016549409	y_error: 3.66364084685
time: 16.3670399306	x_error: 13.7850428227	y_error: 9.94378503772
time: 16.3870486111	x_error: 1.98426535443	y_error: 0.209765736535
time: 16.4070486111	x_error: 4.95474993014	y_error: 7.68119583483
time: 16.4270572917	x_error: 15.9925967591	y_error: 15.5606989792
time: 16.4470486111	x_error: 2.86562022588	y_error: 6.65131981818
time: 16.4670486111	x_error: 4.54757201097	y_error: 5.96523709067
time: 16.4870572917	x_error: 3.42774559432	y_error: 0.396561356503
time: 16.5070572917	x_error: 3.22850140565	y_error: 4.5045326261
time: 16.5270920139	x_error: 12.894845551	y_error: 13.8180906479
time: 16.5470572917	x_error: 2.48834079196	y_error: 0.342711359978
time: 16.5670659722	x_error: 19.7705357702	y_error: 0.653590908653
time: 16.5870659722	x_error: 3.80238184319	y_error: 11.1169226714
time: 16.6070572917	x_error: 18.5319210619	y_error: 45.800906142
time: 16.6270659722	x_error: 6.29779073502	y_error: 16.9357812457
time: 16.6470746528	x_error: 5.99785905054	y_error: 15.8634080177
time: 16.6671006944	x_error: 0.676129110174	y_error: 2.58782806003
time: 16.6870746528	x_error: 4.14239909259	y_error: 14.503387917
time: 16.7070833333	x_error: 0.8481413633	y_error: 6.87551320813
time: 16.7270746528	x_error: 1.47121613347	y_error: 0.0146301216864
time: 16.7470833333	x_error: 2.67775995623	y_error: 6.42663326076
time: 16.7670833333	x_error: 15.7239109122	y_error: 14.7964677962
time: 16.7870920139	x_error: 2.67174748198	y_error: 14.8779383979
time: 16.8070920139	x_error: 23.2119479081	y_error: 40.0444799367
time: 16.8271006944	x_error: 4.7314241747	y_error: 12.3157322949
time: 16.8471006944	x_error: 34.4700303642	y_error: 35.0989634781
time: 16.8671006944	x_error: 20.7019188384	y_error: 0.0485172379028
time: 16.8871006944	x_error: 20.5550217347	y_error: 0.640407269375
time: 16.9111024306	x_error: 24.8192259366	y_error: 0.123451307013
time: 16.9316145833	x_error: 15.1312656684	y_error: 37.5228316288
time: 16.9511197917	x_error: 21.9734996817	y_error: 23.3969902519
time: 17.5723090278	x_error: 17.3847927865	y_error: 7.71460235212
time: 17.6031770833	x_error: 0.814925765508	y_error: 32.0922861771
time: 17.6232465278	x_error: 1.1558194251	y_error: 4.61429273523
time: 17.6432638889	x_error: 1.22610330995	y_error: 6.64395190463
time: 17.6712673611	x_error: 2.08639362362	y_error: 8.10591968345
time: 17.6911892361	x_error: 6.52137431501	y_error: 5.5825298096
time: 17.7111892361	x_error: 0.0458379750037	y_error: 4.22115668279
time: 17.7311892361	x_error: 6.86672044769	y_error: 1.85117526326
time: 17.7511892361	x_error: 0.261004004485	y_error: 0.709451517603
time: 17.7711979167	x_error: 0.143850595325	y_error: 0.175261812594
time: 17.7911979167	x_error: 0.193516664735	y_error: 0.441395799069
time: 17.8111979167	x_error: 6.78417175907	y_error: 1.36084491638
time: 17.8312152778	x_error: 0.196812697212	y_error: 0.487073369379
time: 17.8512065972	x_error: 5.86953941276	y_error: 0.124174271002
time: 17.8712065972	x_error: 20.9337207921	y_error: 4.66849833115
time: 17.8912065972	x_error: 7.3801852189	y_error: 22.6336082464
time: 17.9112152778	x_error: 2.09499152872	y_error: 8.06940147551
time: 17.9312152778	x_error: 0.918869020149	y_error: 2.61300198467
time: 17.9513107639	x_error: 0.178323093762	y_error: 0.520405699612
time: 17.9712152778	x_error: 5.18609467197	y_error: 1.84591153072
time: 17.991328125	x_error: 4.58542873587	y_error: 4.20184116827
time: 18.0112239583	x_error: 5.62759934109	y_error: 6.29066575076
time: 18.0312239583	x_error: 27.6840083368	y_error: 6.42782021136
time: 18.0512239583	x_error: 0.544655663409	y_error: 4.10625936693
time: 18.0712239583	x_error: 0.993058044855	y_error: 4.03360897969
time: 18.0912326389	x_error: 4.3822320355	y_error: 7.18760617349
time: 18.1112239583	x_error: 0.017556890311	y_error: 3.49273937371
time: 18.1312239583	x_error: 4.84349518537	y_error: 2.55536302428
time: 18.1512326389	x_error: 23.8435745933	y_error: 10.7214123521
time: 18.1752951389	x_error: 8.71571039492	y_error: 1.47736076583
time: 18.8033072917	x_error: 3.43896231069	y_error: 5.03400493311
time: 18.8393315972	x_error: 13.6008140128	y_error: 12.7328386406
time: 18.8753298611	x_error: 0.367141341962	y_error: 3.85329682725
time: 18.8953298611	x_error: 0.933860489138	y_error: 1.69484175993
time: 18.9153298611	x_error: 1.13416052585	y_error: 6.17393324109
time: 18.9353298611	x_error: 0.0293236169404	y_error: 23.4094640997
time: 18.9553385417	x_error: 3.59153862996	y_error: 1.49703008085
time: 18.9753385417	x_error: 4.73890777599	y_error: 0.00439150251907
time: 18.9953298611	x_error: 0.0398604056537	y_error: 0.619534057646
time: 19.015390625	x_error: 0.00242446705818	y_error: 0.448838843503
time: 19.0353385417	x_error: 2.43829440501	y_error: 0.539574448428
time: 19.0553472222	x_error: 0.0120463460328	y_error: 3.13214949995
time: 19.0753472222	x_error: 21.0278051292	y_error: 8.016697846
time: 19.0953472222	x_error: 12.7403741615	y_error: 11.0875067196
time: 19.1153559028	x_error: 0.378822029605	y_error: 1.09617854131
time: 19.1353472222	x_error: 1.23575726616	y_error: 0.656882829365
time: 19.1553559028	x_error: 3.09720771309	y_error: 1.86390703531
time: 19.1753993056	x_error: 0.0266160151997	y_error: 0.597796785112
time: 19.1953559028	x_error: 0.329684998686	y_error: 0.287577010976
time: 19.2153645833	x_error: 0.0268847259991	y_error: 0.510146233051
time: 19.2353559028	x_error: 2.94625155631	y_error: 0.257458394373
time: 19.2553645833	x_error: 10.9291291001	y_error: 0.817692620169
time: 19.2753645833	x_error: 0.0126337408431	y_error: 0.250590467703
time: 19.2953645833	x_error: 4.51056215338	y_error: 0.228695727674
time: 19.3153819444	x_error: 0.160714083761	y_error: 7.18767724675
time: 19.3353732639	x_error: 2.25268537328	y_error: 1.96406923573
time: 19.3553732639	x_error: 0.873270167055	y_error: 1.60889013816
time: 19.3753819444	x_error: 0.472911730318	y_error: 1.23157105424
time: 19.3959375	x_error: 0.221667979019	y_error: 3.99625852209
time: 19.4233767361	x_error: 1.2625518588	y_error: 7.01113842571
time: 20.0714496528	x_error: 1.25228000899	y_error: 10.4087166806
time: 20.0959288194	x_error: 1.43184130184	y_error: 13.1435088901
time: 20.1194704861	x_error: 2.40951109163	y_error: 17.0327356247
time: 20.1474652778	x_error: 25.9433614255	y_error: 0.113141952854
time: 20.1674565972	x_error: 2.08804959002	y_error: 2.61398052853
time: 20.1876388889	x_error: 0.985597417938	y_error: 0.108491080203
time: 20.2114583333	x_error: 4.5708147397	y_error: 6.81497145977
time: 20.2314670139	x_error: 4.41572682082	y_error: 10.739426473
time: 20.2514670139	x_error: 7.43657260851	y_error: 14.0867109571
time: 20.2714670139	x_error: 18.1102935903	y_error: 78.4469308541
time: 20.2914670139	x_error: 6.90507379778	y_error: 0.00340949740371
time: 20.3114670139	x_error: 0.0052247888425	y_error: 46.154446148
time: 20.3314756944	x_error: 6.98671994099	y_error: 9.93926340794
time: 20.351484375	x_error: 3.22027860134	y_error: 6.49841187867
time: 20.3714756944	x_error: 7.44676425345	y_error: 0.754860258448
time: 20.3915625	x_error: 0.0116289108385	y_error: 0.0975061816773
time: 20.411484375	x_error: 0.475050796194	y_error: 1.27793278993
time: 20.431484375	x_error: 6.09636397938	y_error: 1.2426517734
time: 20.451484375	x_error: 22.9881518724	y_error: 0.120516654683
time: 20.471484375	x_error: 8.43785521331	y_error: 9.64480062541
time: 20.4914930556	x_error: 0.00840726187562	y_error: 0.0838472835657
time: 20.5115017361	x_error: 0.00459630274815	y_error: 42.4423397242
time: 20.5314930556	x_error: 7.03128720927	y_error: 5.69405879793
time: 20.5515017361	x_error: 2.73154931495	y_error: 11.0767099015
time: 20.5715104167	x_error: 0.0166093506181	y_error: 0.096351941404
time: 20.5915017361	x_error: 2.35642520008	y_error: 3.61899671809
time: 20.6115277778	x_error: 0.191692634864	y_error: 8.20801209942
time: 20.6323090278	x_error: 7.19863178703	y_error: 16.4051745529
time: 20.6515972222	x_error: 5.43026618801	y_error: 8.50726212246
time: 20.6755989583	x_error: 3.24206010035	y_error: 8.74375701391
time: 21.3075868056	x_error: 0.24509226967	y_error: 0.18664107854
time: 21.3315798611	x_error: 0.245090678824	y_error: 17.7375939003
time: 21.3515885417	x_error: 4.58920303048	y_error: 2.44124914864
time: 21.3716059028	x_error: 26.5796135955	y_error: 6.34690568712
time: 21.3919444444	x_error: 5.18087489926	y_error: 3.45088661682
time: 21.4115972222	x_error: 20.7334552342	y_error: 1.61135483801
time: 21.4315972222	x_error: 27.7706894761	y_error: 25.6712634128
time: 21.4515972222	x_error: 42.648708021	y_error: 1.42852689207
time: 21.4716059028	x_error: 5.01069083458	y_error: 1.28026315465
time: 21.4916059028	x_error: 22.0648739027	y_error: 1.15244186612
time: 21.5116059028	x_error: 52.6720713061	y_error: 2.07921505192
time: 21.5316059028	x_error: 40.6459787388	y_error: 30.8910432025
time: 21.5516059028	x_error: 0.710063426798	y_error: 46.5941037609
time: 21.5716059028	x_error: 5.50609523412	y_error: 20.9361232055
time: 21.5916059028	x_error: 24.4360260829	y_error: 13.0075569046
time: 21.6116145833	x_error: 0.245136817232	y_error: 1.07269802477
time: 21.6356163194	x_error: 46.8171159442	y_error: 1.07264679506
time: 21.655625	x_error: 0.436575982246	y_error: 2.84226349784
time: 21.6757118056	x_error: 0.406755657065	y_error: 52.5827499749
time: 21.695625	x_error: 3.5783961411	y_error: 5.92523289568
time: 21.7156336806	x_error: 0.411585868383	y_error: 38.6615511301
time: 21.7356336806	x_error: 0.213195903476	y_error: 1.02551642785
